vPolSeaveyGain_dBi	FreqsMHz
8.2334101242	743.408203125
8.18191163027	744.62890625
8.14684244306	745.849609375
8.13158622504	747.0703125
8.13884690004	748.291015625
8.16786691155	749.51171875
8.21369458031	750.732421875
8.26817989833	751.953125
8.3217805658	753.173828125
8.36576845536	754.39453125
8.39446462373	755.615234375
8.4063238484	756.8359375
8.40270803262	758.056640625
8.38510596524	759.27734375
8.35347746189	760.498046875
8.30757362248	761.71875
8.24968164324	762.939453125
8.18503352799	764.16015625
8.11861395615	765.380859375
8.05204316669	766.6015625
7.98512383997	767.822265625
7.92119487761	769.04296875
7.86942416178	770.263671875
7.83903686422	771.484375
7.82948546398	772.705078125
7.82645106978	773.92578125
7.81023272418	775.146484375
7.77155572481	776.3671875
7.7191528972	777.587890625
7.67043398209	778.80859375
7.63582516988	780.029296875
7.61209298732	781.25
7.58817020111	782.470703125
7.55544460593	783.69140625
7.5119938227	784.912109375
7.45864772179	786.1328125
7.39541860321	787.353515625
7.32573528507	788.57421875
7.26336832667	789.794921875
7.23004009784	791.015625
7.24205236034	792.236328125
7.29823270376	793.45703125
7.38185799362	794.677734375
7.47703461458	795.8984375
7.58402785284	797.119140625
7.71598559784	798.33984375
7.88075411128	799.560546875
8.0683413145	800.78125
8.25705436254	802.001953125
8.43238774642	803.22265625
8.59840567577	804.443359375
8.76852386945	805.6640625
8.94683304456	806.884765625
9.11995719262	808.10546875
9.26665555964	809.326171875
9.37547454211	810.546875
9.45243260142	811.767578125
9.51181799839	812.98828125
9.56240071432	814.208984375
9.6030096505	815.4296875
9.62821353869	816.650390625
9.63529052441	817.87109375
9.62536777147	819.091796875
9.60048554334	820.3125
9.56297242697	821.533203125
9.51830015207	822.75390625
9.47590764001	823.974609375
9.44453818517	825.1953125
9.4265486259	826.416015625
9.41818902949	827.63671875
9.41637883448	828.857421875
9.42422171767	830.078125
9.44795367002	831.298828125
9.4884174504	832.51953125
9.53763423074	833.740234375
9.58597526007	834.9609375
9.63274964958	836.181640625
9.68717635665	837.40234375
9.75747525276	838.623046875
9.84007942886	839.84375
9.9206408183	841.064453125
9.98621671803	842.28515625
10.0359576804	843.505859375
10.0782192177	844.7265625
10.1173740864	845.947265625
10.1452341715	847.16796875
10.147311465	848.388671875
10.1191889158	849.609375
10.0754633262	850.830078125
10.0400171667	852.05078125
10.0276015061	853.271484375
10.0343565907	854.4921875
10.0446037738	855.712890625
10.0477055933	856.93359375
